"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-03-31,"10025","NY","New York","New York","New York",0,3632,0.00442477876106195,0.00581556355580172,0.0156599552572707,22431
2016-03-31,"60657","IL","Chicago","Cook","Chicago",1,1966,0.00408580183861083,0.0134020618556701,-0.0214036834245893,32224
2016-03-31,"10023","NY","New York","New York","New York",2,3980,0.0145296966607188,0.0265669331957699,-0.0155824882512985,29114
2016-03-31,"60614","IL","Chicago","Cook","Chicago",3,2261,0.00221631205673759,0.0107286544479213,-0.0195143104943625,33152
2016-03-31,"79936","TX","El Paso","El Paso","El Paso",4,1029,-0.0077145612343298,-0.02,-0.00193986420950533,31515
2016-03-31,"10002","NY","New York","New York","New York",5,3783,0.00665247472059606,0.023538961038961,-0.0272563641038827,9172
2016-03-31,"77084","TX","Houston","Harris","Houston",6,1455,0.00206611570247934,0.00622406639004149,0.0268172194777699,26718
2016-03-31,"60640","IL","Chicago","Cook","Chicago",7,1633,0.00989486703772418,0.0199875078076202,0.00554187192118227,22482
2016-03-31,"10467","NY","New York","Bronx","New York",8,1777,0.00112676056338028,0.00338791643139469,0.0265742345465049,7006
2016-03-31,"94109","CA","San Francisco","San Francisco","San Francisco",9,4653,0.000214961306964746,-0.0228895422091558,0.0374581939799331,9561
2016-03-31,"11226","NY","New York","Kings","New York",10,2111,0.00332699619771863,0.0134421507441191,0.0497265042267529,9496
2016-03-31,"75070","TX","Dallas-Fort Worth","Collin","McKinney",11,1900,0.00105374077976818,0.00263852242744063,0.0171306209850107,28950
2016-03-31,"11375","NY","New York","Queens","New York",12,2263,0.00443852640923214,0.0107190710138455,0.0323905109489051,22413
2016-03-31,"77449","TX","Houston","Harris","Cypress",13,1459,0.00206043956043956,0.00620689655172414,0.0260196905766526,31979
2016-03-31,"10016","NY","New York","New York","New York",14,3767,0.00802782981000803,0.0303610503282276,-0.0268664427796435,26908
2016-03-31,"32162","FL","The Villages","Sumter","The Villages",15,2399,0.0169563374311149,0.000834376303712975,-0.17247326664367,34689
2016-03-31,"77494","TX","Houston","Fort Bend","Cinco Ranch",16,2446,-0.00891410048622366,-0.0156941649899396,-0.0309033280507132,31575
2016-03-31,"11235","NY","New York","Kings","New York",17,2200,0.00227790432801822,0.021355617455896,0.0653753026634383,16915
2016-03-31,"60647","IL","Chicago","Cook","Chicago",18,1787,0.00168161434977578,0.00112044817927171,0.00449690837549185,20166
2016-03-31,"90250","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Hawthorne",19,2398,0.00798654897015553,0.0148116800677105,0.0221653878942881,14870
2016-03-31,"37211","TN","Nashville","Davidson","Nashville",20,1461,0.00412371134020619,0.0117728531855956,0.0798226164079823,20517
2016-03-31,"10009","NY","New York","New York","New York",21,3828,0.00789889415481832,0.0270995438690636,-0.0692924872355945,9251
2016-03-31,"37013","TN","Nashville","Davidson","Nashville",22,1356,0.00370096225018505,0.00892857142857143,0.0462962962962963,22726
2016-03-31,"60618","IL","Chicago","Cook","Chicago",23,1880,0.00159829515183804,0.00642398286937901,0.0341034103410341,20790
2016-03-31,"10128","NY","New York","New York","New York",24,3466,0.00697269029633934,0.018213866039953,0.0525356817491649,22879
2016-03-31,"10029","NY","New York","New York","New York",25,3037,0.00231023102310231,-0.00524074680641991,0.0354585748380498,5782
2016-03-31,"10011","NY","New York","New York","New York",26,4534,0.0152261531571876,0.049780041676314,-0.00809450886020564,21513
